Date,Open_Yahoo,High_Yahoo,Low_Yahoo,Close_Yahoo,Volume_Yahoo,Open_Alpha,High_Alpha,Low_Alpha,Close_Alpha,Volume_Alpha,Open_Diff,High_Diff,Low_Diff,Close_Diff,Volume_Diff,Status
2026-06-03,418.7,433.6,416.0,423.7,44500700,418.7,433.6,416.0,423.7,44500733,0.0,0.0,0.0,0.0,33,Match
2026-06-04,419.84,426.35,417.16,418.45,35323300,419.84,426.3499,417.16,418.45,35323259,0.0,0.00010000000003174137,0.0,0.0,41,Match
2026-06-05,420.5,424.68,388.59,391.0,63420200,420.5,424.6799,388.59,391.0,63420177,0.0,0.00010000000003174137,0.0,0.0,23,Match
2026-06-08,396.33,412.94,394.72,408.95,50328800,396.33,412.94,394.72,408.95,50328834,0.0,0.0,0.0,0.0,34,Match
2026-06-09,411.03,418.5,384.24,396.68,59940200,411.03,418.5,384.24,396.68,59940230,0.0,0.0,0.0,0.0,30,Match
2026-06-10,391.54,397.09,380.15,381.59,49695600,391.54,397.09,380.15,381.59,49695583,0.0,0.0,0.0,0.0,17,Match
2026-06-11,388.28,399.54,380.66,399.15,45324300,388.28,399.54,380.66,399.15,45324348,0.0,0.0,0.0,0.0,48,Match
2026-06-12,399.49,406.68,386.76,406.43,63514500,399.49,406.68,386.76,406.43,63652286,0.0,0.0,0.0,0.0,137786,Mismatch
2026-06-15,412.37,416.0,407.1,411.15,45620500,412.37,416.0,407.1,411.15,45620514,0.0,0.0,0.0,0.0,14,Match
2026-06-16,404.11,412.42,400.54,404.66,40255500,404.11,412.42,400.54,404.66,40255473,0.0,0.0,0.0,0.0,27,Match
2026-06-17,401.53,405.94,393.76,396.38,43534300,401.53,405.94,393.76,396.38,43534299,0.0,0.0,0.0,0.0,1,Match
2026-06-18,398.1,402.52,384.7,400.49,58384700,398.095,402.52,384.7,400.49,58384713,0.0049999999999954525,0.0,0.0,0.0,13,Match
2026-06-22,394.85,414.75,394.4,405.05,47819500,394.85,414.75,394.4,405.05,47819486,0.0,0.0,0.0,0.0,14,Match
2026-06-23,392.61,392.87,379.06,381.61,50420200,392.61,392.87,379.06,381.61,50420210,0.0,0.0,0.0,0.0,10,Match
2026-06-24,380.08,384.58,373.05,375.53,37081400,380.08,384.58,373.05,375.53,37081421,0.0,0.0,0.0,0.0,21,Match
2026-06-25,375.27,379.12,371.22,375.12,30138800,375.27,379.117,371.221,375.12,30259987,0.0,0.002999999999985903,0.0009999999999763531,0.0,121187,Mismatch
2026-06-26,370.15,387.8,368.6,379.71,53434100,370.15,387.8,368.6,379.71,53434138,0.0,0.0,0.0,0.0,38,Match
2026-06-29,381.79,413.27,379.3,411.84,57645800,381.79,413.27,379.3,411.84,57645798,0.0,0.0,0.0,0.0,2,Match
2026-06-30,406.0,424.54,406.0,420.6,43385600,406.0,424.54,406.0,420.6,43385619,0.0,0.0,0.0,0.0,19,Match
2026-07-01,421.46,432.86,418.09,425.3,40127900,421.46,432.8599,418.0901,425.3,40127902,0.0,0.00010000000003174137,0.00010000000003174137,0.0,2,Match
2026-07-02,428.01,432.35,389.3,393.45,73717700,428.01,432.35,389.3011,393.45,73915762,0.0,0.0,0.0011000000000080945,0.0,198062,Mismatch
2026-07-06,397.5,420.0,390.5,419.77,54727900,397.5,420.0,390.5,419.77,54727861,0.0,0.0,0.0,0.0,39,Match
2026-07-07,416.96,419.56,401.88,402.9,38149900,416.96,419.56,401.88,402.9,38149901,0.0,0.0,0.0,0.0,1,Match
2026-07-08,399.38,399.63,390.51,394.06,33844900,399.375,399.63,390.51,394.06,33844906,0.0049999999999954525,0.0,0.0,0.0,6,Match
2026-07-09,393.99,407.86,390.86,406.55,37835000,393.99,407.86,390.8631,406.55,37834988,0.0,0.0,0.0030999999999608008,0.0,12,Match
2026-07-10,410.49,413.16,402.81,407.76,33342700,410.49,413.16,402.8101,407.76,33409995,0.0,0.0,9.999999997489795e-05,0.0,67295,Mismatch
